Description ID,Event,Test ID,Day,Start Time,Location,Staff Required,Mark,UID,Scout Instructions,Base Instructions,Completed,Join
76,Inspection: Table,49,2,11:00,Campsites,106,15,176,,"Inspect the quality, stability, and design of the pioneered table in each campsite. Consider the following criteria:

1. Pioneering quality: Are the lashings done correctly?
2. Stability: Does the table wobble or is it sturdy?
3. Design: Is the design practical and effective for seating?
4. Neatness: Is the table clean with no stray ends or rough edges?
5. Lashing ends: Are the ends of the lashings neatly tucked away?
6. Seating capacity: Can the table comfortably seat 8 people?
7. Table top: Is there a proper table top or is it a pioneered table top using multiple staves or slats?
",TRUE,"Inspect the quality, stability, and design of the pioneered table in each campsite. Consider the following criteria:

1. Pioneering quality: Are the lashings done correctly?
2. Stability: Does the table wobble or is it sturdy?
3. Design: Is the design practical and effective for seating?
4. Neatness: Is the table clean with no stray ends or rough edges?
5. Lashing ends: Are the ends of the lashings neatly tucked away?
6. Seating capacity: Can the table comfortably seat 8 people?
7. Table top: Is there a proper table top or is it a pioneered table top using multiple staves or slats?
"
77,Inspection: Extra Gadgets,50,2,11:00,Campsites,106,10,177,,"Inspect the campsite for extra gadgets (excluding tables and gateways). These gadgets should enhance the functionality of the campsite. Consider the following criteria:

1. Check the quality of lashings: Are they tight and neat?
2. Test the functionality of the gadgets: Do they work as they're supposed to?
3. Count the number of extra gadgets.",TRUE,"Inspect the campsite for extra gadgets (excluding tables and gateways). These gadgets should enhance the functionality of the campsite. Consider the following criteria:

1. Check the quality of lashings: Are they tight and neat?
2. Test the functionality of the gadgets: Do they work as they're supposed to?
3. Count the number of extra gadgets."
78,Inspection: Dresser,51,2,11:00,Campsites,106,10,178,,"Assess the campsite kitchen dresser based on pioneering quality, neatness, and effectiveness. The dresser should meet the following criteria:

1. Pioneering quality of the dresser.
2. Neatness of the dresser.
3. Effectiveness in holding 2 washing bowls, a drying rack, and a bin.
4. Stability of the dresser.
5. The dresser should be freestanding.
6. Assessment of the bin setup:
   - Pioneered as part of the structure: 2 points.
   - Black bag attached to the structure: 1 point.
   - No bin: 0 points.",TRUE,"Assess the campsite kitchen dresser based on pioneering quality, neatness, and effectiveness. The dresser should meet the following criteria:

1. Pioneering quality of the dresser.
2. Neatness of the dresser.
3. Effectiveness in holding 2 washing bowls, a drying rack, and a bin.
4. Stability of the dresser.
5. The dresser should be freestanding.
6. Assessment of the bin setup:
   - Pioneered as part of the structure: 2 points.
   - Black bag attached to the structure: 1 point.
   - No bin: 0 points."
79,Inspection: Notice Board,52,2,11:00,Campsites,106,10,179,,"Assess the pioneering quality, design, and functionality of the notice board. Consider the following criteria:

1. Stability: Is the notice board stable and firmly planted?
2. Lashings: Are all lashings correct and tight?
3. Neatness: Is the design neat?
4. Attractiveness: Does the design appeal visually?
5. Functionality: Is the notice board functional with relevant items displayed, such as the program or team name?
6. Accessibility: Can all scouts easily access and read the contents of the notice board?
",TRUE,"Assess the pioneering quality, design, and functionality of the notice board. Consider the following criteria:

1. Stability: Is the notice board stable and firmly planted?
2. Lashings: Are all lashings correct and tight?
3. Neatness: Is the design neat?
4. Attractiveness: Does the design appeal visually?
5. Functionality: Is the notice board functional with relevant items displayed, such as the program or team name?
6. Accessibility: Can all scouts easily access and read the contents of the notice board?
"
80,Inspection: Flag,53,2,11:00,Campsites,106,10,180,,"Assess the pioneering quality, design, and functionality of the campsite flagpole. Consider the following criteria:

1. Stability of the flagpole.
2. Correctness and tightness of the lashings.
3. Neatness of the flagpole construction.
4. Attractiveness of the flagpole design.
5. Functionality: Ability to raise and lower a flag.
6. Presence of a cleared area around the flagpole for a parade ground or area to fall in.
",TRUE,"Assess the pioneering quality, design, and functionality of the campsite flagpole. Consider the following criteria:

1. Stability of the flagpole.
2. Correctness and tightness of the lashings.
3. Neatness of the flagpole construction.
4. Attractiveness of the flagpole design.
5. Functionality: Ability to raise and lower a flag.
6. Presence of a cleared area around the flagpole for a parade ground or area to fall in.
"
81,Inspection: Gateway,54,2,11:00,Campsites,106,10,181,,"Assess the design and structure of each patrol's campsite gateway. Consider the following criteria:

1. Location: Is the gateway positioned at the most accessible path leading into and out of the campsite?
2. Stability: The gateway should be freestanding without relying on trees or external objects for support.
3. Aesthetics: The design should be attractive and neat.
4. Functionality: Supporting ropes or structures should not interfere with the entry or exit from the campsite.
5. Ingenuity: Extra points awarded if the gateway has some form of moving part or unique mechanism.
",TRUE,"Assess the design and structure of each patrol's campsite gateway. Consider the following criteria:

1. Location: Is the gateway positioned at the most accessible path leading into and out of the campsite?
2. Stability: The gateway should be freestanding without relying on trees or external objects for support.
3. Aesthetics: The design should be attractive and neat.
4. Functionality: Supporting ropes or structures should not interfere with the entry or exit from the campsite.
5. Ingenuity: Extra points awarded if the gateway has some form of moving part or unique mechanism.
"
82,Staff Lunch,0,2,12:30,House,800,0,182,,Hotdogs / Cheese sandwiches,TRUE,
83,STA 6: Pinhole,55,2,13:30,Barn,106,10,183,,"For this STA, the patrol has been tasked with constructing a pinhole camera. 

Handin - 1
Quality of construction: must not fall apart - 3 (bad, mediocre, good)
Functionality: is it possible to focus an image - 3 (no, blurry, sharp)
Decoration: -3 (low, medium, high effort)
",FALSE,"For this STA, the patrol has been tasked with constructing a pinhole camera. 

Handin - 1
Quality of construction: must not fall apart - 3 (bad, mediocre, good)
Functionality: is it possible to focus an image - 3 (no, blurry, sharp)
Decoration: -3 (low, medium, high effort)
"
84,STA 8: Academy Award,56,2,13:30,Barn,106,15,184,,"Scouts are to sculpt an Oscar statuette using polymer clay. Consider the following criteria when awarding marks:

1. The figure should be no less than 5cm tall. -2
2. The statuette should be free-standing. -2
3. Evaluate the quality of the build. -4
4. Evaluate the decoration and finishing touches. -4
5. Evaluate accuracy to original -2
6. Hand-in -1
",TRUE,"Scouts are to sculpt an Oscar statuette using polymer clay. Consider the following criteria when awarding marks:

1. The figure should be no less than 5cm tall. -2
2. The statuette should be free-standing. -2
3. Evaluate the quality of the build. -4
4. Evaluate the decoration and finishing touches. -4
5. Evaluate accuracy to original -2
6. Hand-in -1
"
85,Tuckshop Arrival,0,2,14:00,River Bank,902,0,185,,"1st Claremont will arrive and set up the Tuckshop underneath the trees by the river bank. Assist them as far as possible. They have been given permission to park there, and to use the electricity at the outlet box",TRUE,
86,Rubbish Hand-In,57,2,14:30,Kitchen,102,0,186,,Patrols are to deposit waste strictly at the kitchen area. Any recyclable materials must be retained by the patrols and taken home with them.,TRUE,Patrols are to deposit waste strictly at the kitchen area. Any recyclable materials must be retained by the patrols and taken home with them.
87,Final Site Inspection,58,2,14:30,Campsites,124,5,187,,"Inspect each patrol's campsite for the final site inspection. Consider the following criteria:

1. Cleanliness of the site: Is there any litter or waste left behind?
2. Equipment: Has all the equipment been properly packed away?
3. Fire safety: If a fire was made, has it been properly extinguished and the site returned to its natural state?
4. Impact on nature: Ensure that the natural environment has not been harmed or altered.",TRUE,"Inspect each patrol's campsite for the final site inspection. Consider the following criteria:

1. Cleanliness of the site: Is there any litter or waste left behind?
2. Equipment: Has all the equipment been properly packed away?
3. Fire safety: If a fire was made, has it been properly extinguished and the site returned to its natural state?
4. Impact on nature: Ensure that the natural environment has not been harmed or altered."
88,Print Mark Check,0,2,14:30,House,809,0,188,,"Admin to ensure all marks are printed, without showing the final position",TRUE,
89,Parents Arrival,0,2,15:00,Various,806,0,189,,"Various teams ready for arrival of parents, and for assisting with Traffic and unloading. Forrest teams to pick up at TOP parking lot to pick trailers. Terrace teams to pick up trailers at Terrace parking. Assist the flow of traffic as far as possible",TRUE,
90,Patrol Leader Mark Check,59,2,15:30,Front Lawn,809,0,190,,"Patrol leaders to check their marks in private, report any errors to chief judge and admin
FINAL SCORES AND RESULTS TO BE POSTED IN THE BARN DIRECTLY BEFORE FINAL PARADE, so that Scouts can see their results immediately after",TRUE,"Patrol leaders to check their marks in private, report any errors to chief judge and admin
FINAL SCORES AND RESULTS TO BE POSTED IN THE BARN DIRECTLY BEFORE FINAL PARADE, so that Scouts can see their results immediately after"
91,Media Crew (Final Parade),0,2,15:45,Main Field,803,0,191,,"The final parade is a grand spectacle, and your media crew should be ready to capture every emotion-filled moment. Begin with wide shots to show the scale and grandeur of the event — 47 teams, over 50 staff, and 200+ spectators. The anticipation in the air should be palpable.

Zoom in on teams, catching the eagerness and tension in their eyes as they await the results. The staff, lined up neatly, represent the culmination of the event's organization, so get sweeping shots of them, highlighting their professionalism and dedication.

When the winning patrols salute the chief judge, be ready for close-ups. The salute, an emblem of respect and honor, is a key moment. The joy, pride, and perhaps even surprise on the winners' faces need to be captured in high resolution.

The presentation of the Gordon Shield is the climax. Frame the shot to have the chief judge and the winning team's leader in focus, with the gleaming Gordon Shield taking center stage. Capture the exact moment the shield is handed over — that's the shot of the day.

Don't forget the spectators. Their cheers, claps, and perhaps even tears, are integral to the narrative. Their reactions to the announcements provide a rich backdrop to the main event.

Lastly, as the parade concludes, capture the teams' interactions — the congratulations, the group hugs, the high-fives. This event is as much about camaraderie as competition, and your footage should reflect that spirit.",TRUE,
92,Final Parade,60,2,16:00,Main Field,800,0,192,,"Congratulate all scouts for completing the compeition, despite the elements and challenges they faced
I hope that you have all learned something over this weekend, that you will take back to your Troops
A word from Regional Commissioner
Thank the staff for their dedication 
Thank core team specifically for their hard work and months of planning
Announce winners from 15th
Top five PLs come up for certificate
Winning patrol comes to recieve shield handed by RC
Congratulate everyone once again, if you want to see your results, they are posted on the notice board in the barn
I wish to see you at the next event
Winning patrol flag down
",TRUE,"Congratulate all scouts for completing the compeition, despite the elements and challenges they faced
I hope that you have all learned something over this weekend, that you will take back to your Troops
A word from Regional Commissioner
Thank the staff for their dedication 
Thank core team specifically for their hard work and months of planning
Announce winners from 15th
Top five PLs come up for certificate
Winning patrol comes to recieve shield handed by RC
Congratulate everyone once again, if you want to see your results, they are posted on the notice board in the barn
I wish to see you at the next event
Winning patrol flag down
"
93,Judge Debrief,0,2,16:30,House,800,0,193,,"Thank all staff for their amazing support
I hope that everyone has made at least one new connection and has learned something to take home with them
Thank you to every person on the core team who contributed in some way to the success of the competition
I hope to see you at events in the future
Please assist with pack up, so that we can all go home",TRUE,
94,Pack Up,0,2,16:45,Various,800,0,194,,"Make sure all personal kit, hawequas equipment, competition is packed up. Collect all lost property to be returned to HQ post-competition
Sweep floors, clean surfaces, leave area the same as when we arrived",TRUE,
95,End,0,2,17:30,Hawequas,800,0,195,,Everyone goes home and enjoys life,TRUE,
96,hayi,0,2,18:00,Various,810,0,196,,hayi,TRUE,
